ten_san_pham,ram_gb,o_cung_gb,gia_ban,cpu_NAN,ram_gb_NAN,o_cung_gb_NAN,vga_NAN,thuong_hieu_ASUS,thuong_hieu_Acer,thuong_hieu_Apple,thuong_hieu_Asus,thuong_hieu_DELL,thuong_hieu_Dell,thuong_hieu_GIGABYTE,thuong_hieu_Gigabyte,thuong_hieu_HP,thuong_hieu_Hp,thuong_hieu_Khác,thuong_hieu_LENOVO,thuong_hieu_Lenovo,thuong_hieu_Lg,thuong_hieu_MACBOOK,thuong_hieu_MSI,thuong_hieu_Msi,thuong_hieu_Other,thuong_hieu_Surface,cpu_Core Ultra 5,cpu_Core Ultra 7,cpu_Core Ultra 9,cpu_Core i3,cpu_Core i5,cpu_Core i7,cpu_Core i9,cpu_Other,cpu_Ryzen 5,cpu_Ryzen 7,vga_Apple GPU,vga_INTEL ARC GRAPHICS,vga_INTEL GRAPHICS,vga_INTEL IRIS XE,vga_INTEL IRIS XE GRAPHICS,vga_INTEL UHD GRAPHICS,vga_NVIDIA Card Rời,vga_Onboard,vga_Other,vga_RTX 3050 6GB
Laptop Msi Prestige 13 AI+ Ukiyoe Edition A2VMG-075VN (Ultra 9-288V/ 32GB/ 2TB/ Win 11 Home,2.0,3.0,1.9564002235885969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Lenovo IdeaPad 3 15ARP10 - 83K700GDVN (R5 7535HS/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.1626607043040805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Laptop Dell 15 DC15250 - CPH99 (i5-1334U/ 16GB/ 512GB/ Win 11 Home SL + Office,0.0,0.0,0.1173840134153158,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Asus ROG Zephyrus G16 GU605CR-QR265WS (Ultra 9-285H/ GeForce RTX 5070Ti/ 32GB/ 1TB/ Win 11 Home,2.0,2.0,3.4097261039686977,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Asus Expertbook B1 BM1403CDA-S61611W (Ryzen 5 150/ 16GB/ 512GB/ Windows 11 Home Single Language,0.0,0.0,-0.0111794298490776,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Laptop HP 15-fc0024AU - D0BH2PA (Ryzen 5 7520U/ 16GB/ 512GB/ Windows 11 Home,0.0,0.0,-0.0223588596981553,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Laptop Lenovo ThinkPad T16 Gen 4 - 21QE000DVN (Ultra 7-255H/ 32GB/ 1TB/ Win 11 Pro,2.0,2.0,1.4980435997764114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Lenovo ThinkPad X1 Carbon Gen 13 - 21NS010CVN (Ultra 7-258V/ 32GB/ 1TB/ Win 11 Pro,2.0,2.0,2.5656791503633314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Laptop Lenovo ThinkPad E14 Gen 7 - 21SX0030VN (Ultra 7-255H/ 16GB/ 1TB/ Windows 11 Home SL, English",0.0,2.0,0.9167132476243712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Dell Pro 14 E PV14250 PV14250-150U-161TBW (Core 7 150U/ 16GB/ 1TB/ Windows 11 Home Single Langua,0.0,2.0,0.7266629401900503,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Acer Aspire Go 14 AG14-72P-563L (Core 5 120U/ 16GB/ 512GB/ Windows 11 Home SL,0.0,0.0,0.4471771939631079,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Lenovo ThinkPad X1 2-in-1 Gen 10 - 21NU004TVN (Ultra 7-258V/ 32GB/ 1TB/ Windows 11 Pro,2.0,2.0,2.76690888764673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Lenovo Ideapad 3 16ARP10 - 83K8008WVN (Ryzen 7 7735HS/ 24GB/ 512GB/ Win 11 Home SL,1.0,0.0,0.3074343208496367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Laptop Lenovo ThinkPad E14 Gen 7 - 21SX005NVN (Ultra 5-225U/ 16GB/ 512GB/ Windows 11 Home SL, English",0.0,0.0,0.553381777529346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Laptop Lenovo ThinkPad E14 Gen 7 - 21U2003QVN (Ultra 5-226V/ 16GB/ 512GB/ Windows 11 Home SL, English",0.0,0.0,0.5645612073784237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Laptop Lenovo ThinkBook 14 G8 IAL - 21SJ00EAVN (Ultra 5-135H/ 16GB/ 512GB/ Win 11 Home SL, English",0.0,0.0,0.3521520402459475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Asus Zenbook 14 UM3406GA-QD073WS (Ryzen AI 7 445/ 32GB/ 1TB/ Win 11 Home + Office + Microsoft,2.0,2.0,1.285634432643935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Laptop Asus Zenbook 14 UM3406GA-QD075WS (Ryzen AI 7 445/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft,0.0,0.0,0.8943543879262158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Laptop Asus ExpertBook P5 P5405CSA-NZ0017W (Ultra 7-258V/ 32GB/ 1TB/ Win 11 Home,2.0,2.0,1.1179429849077698,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Acer Nitro ProPanel ANV16-72-782F (Core 7 240H/ GeForce RTX 5050/ 16GB/ 512GB/ Windows 11 Home Single Language,0.0,0.0,1.4533258803801006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Acer Nitro ProPanel ANV15-52-74UM (Core 7 240H/ GeForce RTX 3050/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,1.0899944102850754,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Acer Aspire Lite 15 AL15-42P-R8E6 (Ryzen 5 7430U/ 16GB/ 512GB/ Win 11 Home SL + Office + Microsoft,0.0,0.0,-0.0447177193963107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
