ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban,cpu_NAN,ram_gb_NAN,o_cung_gb_NAN,vga_NAN
Laptop Msi Prestige 13 AI+ Ukiyoe Edition A2VMG-075VN (Ultra 9-288V/ 32GB/ 2TB/ Win 11 Home),Msi,Core Ultra 9,2.0,3.0,Onboard,2.1318398274880948,0,0,0,0
Laptop Asus Vivobook S14 S3407CA-LY068WS (Ultra 5-225H/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Asus,Core Ultra 5,0.0,0.0,Onboard,0.69424061816766,0,0,0,0
Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700GDVN (R5 7535HS/ 16GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 5,0.0,0.0,Onboard,0.20964988469256343,0,0,0,0
Laptop Dell 15 DC15250 - CPH99 (i5-1334U/ 16GB/ 512GB/ Win 11 Home SL + Office),Dell,Core i5,0.0,0.0,Onboard,0.16113091137799873,0,0,0,0
Laptop HP Victus 15 fa2731TX (B85LNPA) (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core i5,0.0,0.0,Onboard,0.69424061816766,0,0,0,0
Laptop Asus ROG Zephyrus G16 GU605CR-QR265WS (Ultra 9-285H/ GeForce RTX™ 5070Ti/ 32GB/ 1TB/ Win 11 Home),Asus,Core Ultra 9,2.0,2.0,NVIDIA Card Rời,3.5327802569708586,0,0,0,0
Laptop Asus Expertbook B1 BM1403CDA-S61611W (Ryzen 5 150/ 16GB/ 512GB/ Windows 11 Home Single Language),Asus,Ryzen 5,0.0,0.0,AMD Card Rời,0.023360987151457065,0,0,0,0
Laptop HP 15-fc0024AU - D0BH2PA (Ryzen 5 7520U/ 16GB/ 512GB/ Windows 11 Home),Hp,Ryzen 5,0.0,0.0,Onboard,0.011380993740453442,0,0,0,0
Laptop Lenovo ThinkPad T16 Gen 4 - 21QE000DVN (Ultra 7-255H/ 32GB/ 1TB/ Win 11 Pro),Lenovo,Core Ultra 7,2.0,2.0,Onboard,1.6406600976369463,0,0,0,0
Laptop Lenovo ThinkPad X1 Carbon Gen 13 - 21NS010CVN (Ultra 7-258V/ 32GB/ 1TB/ Win 11 Pro),Lenovo,Core Ultra 7,2.0,2.0,Onboard,2.7847494683877922,0,0,0,0
"Laptop Lenovo ThinkPad E14 Gen 7 - 21SX0030VN (Ultra 7-255H/ 16GB/ 1TB/ Windows 11 Home SL, English)",Lenovo,Core Ultra 7,0.0,2.0,Onboard,1.0177004402647578,0,0,0,0
Laptop Dell Pro 14 E PV14250 PV14250-150U-161TBW (Core 7 150U/ 16GB/ 1TB/ Windows 11 Home Single Langua),Dell,Core i7,0.0,2.0,Onboard,0.8140405522776962,0,0,0,0
Laptop Acer Aspire Go 14 AG14-72P-563L (Core 5 120U/ 16GB/ 512GB/ Windows 11 Home SL),Acer,Core i5,0.0,0.0,Onboard,0.5145407170026056,0,0,0,0
Laptop Lenovo ThinkPad X1 2-in-1 Gen 10 - 21NU004TVN (Ultra 7-258V/ 32GB/ 1TB/ Windows 11 Pro),Lenovo,Core Ultra 7,2.0,2.0,Onboard,3.000389349785858,0,0,0,0
