ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban
"DELL LATITUDE 7420 I7 1185G7 16G 512G 14""FHD99%USA",Dell,Core i7,16,512,Onboard,9500000
Asus i7-7500U 12GB/512GB,Asus,Core i7,12,512,Onboard,4900000
Apple MacBook Air M3 8GB/256GB vna Fullbox 32L sạc,Apple,Apple M-Series,8,256,Apple GPU,16600000
Lenovo Thinkpad P17 i7-10850H 17.3 inch 32GB/512GB,Lenovo,Core i7,32,512,Onboard,14700000
Dell Inspiron 3480 i5-8265U 4GB/256GB,Dell,Core i5,4,256,Onboard,3500000
Asus TUF  F15 i7-12700H RTX 4050 6GB 16GB/512GB,Asus,Core i7,16,512,NVIDIA Card Rời,17890000
"Asus Fx505GT i5-9300H/8G/512G/15.6"" FHD 120Hz",Asus,Core i5,8,512,Onboard,4800000
HP OMEN Transcend 14 Ultra 7-155H 14” 16GB/1TB,Hp,Core Ultra 7,16,1024,Onboard,26990000
"Microsoft Surface Book 2,i5-8350U,Ram 8GB/256G",Surface,Core i5,8,256,Onboard,7400000
Dell Precision 3510 i5-6300HQ 8GB/256GB,Dell,Core i5,8,256,Onboard,4300000
Lenovo Ideapad 5 Pro Ryzen 7 16GB/512GB RTX 3050,Lenovo,Ryzen 7,16,512,NVIDIA Card Rời,18500000
Dell Inspiron 5448 i7-5500U 8GB/256GB,Dell,Core i7,8,256,Onboard,3200000
Dell 7390 2in1 i7-8650U 13.3 inch 16GB/256GB,Dell,Core i7,16,256,Onboard,7900000
Thanh lý  MacBook Air M2 16GB/256GB mightNight đẹp,Apple,Apple M-Series,16,256,Apple GPU,14200000
Apple MacBook Pro 2020 max i7/32gb/2TB,Apple,Core i7,32,2048,Apple GPU,13700000
"Acer Nitro 5, i7-11800H, 16G, 512G, RTX 3050,144Hz",Acer,Core i7,16,512,NVIDIA Card Rời,15500000
Bán Lenovo Ideapad 5 Pro Ryzen 7 6800HS 16GB/512GB,Lenovo,Ryzen 7,16,512,Onboard,18500000
"Dell Precision 7550 i7 10750H,Ram 16G,SSD 512G,Vga",Dell,Core i7,16,512,Onboard,13000000
Dell Precision 5550 i7-10850H 32GB/1TB,Dell,Core i7,32,1024,Onboard,17500000
Apple MacBook Pro 2020 i5 16GB/512gb,Apple,Core i5,16,512,Apple GPU,9300000
"TUF FA506, R7_7435HS,16G, 512G,RTX 3050,BH 11-2026",Khác,Ryzen 7,16,512,NVIDIA Card Rời,16500000
Apple MacBook Air M1 16GB/1TB Xám,Apple,Apple M-Series,16,1024,Apple GPU,13900000
Máycònmớicó card rời i5-6200U 14 inch 8GB/256GB Đỏ,Khác,Core i5,8,256,Onboard,3500000
Dell Latitude 7390 i7-8650U 13.3 inch 8GB/128GB,Dell,Core i7,8,128,Onboard,5000000
Acer A715-41G Ryzen 5 3550H 8G 256G GTX 1650 4G,Acer,Ryzen 5,8,256,NVIDIA Card Rời,7900000
"Dell Vostro 5370 Core i5 8250U, 8GB 256GB, VGA 2GB",Dell,Core i5,8,256,Onboard,5000000
Dell Latitude 5480 i5 14 inch 8GB/256GB,Dell,Core i5,8,256,Onboard,3600000
Lenovo Thinkpad T470 i5-7200U-8GB-256GB,Lenovo,Core i5,8,256,Onboard,4500000
HP Notebook 15S-FQ2556TU i7-1165G7-16G-512G-FulBox,Hp,Core i7,16,512,Onboard,9990000
"Macbook Air M2 16GB/256GB 13.6inch Retina 2,5k",Apple,Apple M-Series,16,256,Apple GPU,14500000
Hp 840g9 cor i7 1265u thế hệ 12 ram 16g ssd 512g,Hp,Core i7,16,512,Onboard,12000000
Acer TravelMate P249-G3 i5-8250U 14 inch 8GB/128GB,Acer,Core i5,8,128,Onboard,4800000
MacBook Pro 16” M1 Pro 32GB/1TB máy sạch pin 9x,Apple,Apple M-Series,32,1024,Apple GPU,28800000
Microsoft Surface Go 2 M3/8G/128GB/0.5kg/Pin6h_99%,Surface,Apple M-Series,8,128,Onboard,2900000
MacBook Pro 13” touchbar i7/32GB/2TB siêu khoẻ,Apple,Core i7,32,2048,Apple GPU,15500000
"Dell Inspiron 5501: i7-1065G7, 16G, 512G, MX330",Dell,Core i7,16,512,Onboard,11490000
"Dell 7390 | i5-8350U | 8GB | 256GB | 13.3""",Dell,Core i5,8,256,Onboard,5490000
Apple Macbook Air M1 8GB/256GB,Apple,Apple M-Series,8,256,Apple GPU,10500000
Th lý Macbook Air i5 4GB/128GB nguyên bản,Apple,Core i5,4,128,Apple GPU,2800000
Dell Latitude 7320 i7-1185G7 13.3 inch 32GB/256GB,Dell,Core i7,32,256,Onboard,9900000
Lenovo Slim 5 14IRH10 OLED i5-13420H 16GB/1TB 14'',Lenovo,Core i5,16,1024,Onboard,17500000
ThinkBook 16 G7+ 2025: R7-8845H | 24G | 512G Đẹp,Khác,Ryzen 7,24,512,Onboard,19790000
ASUS TUF Gaming A15 Ryzen 5 16GB/512GB,Asus,Ryzen 5,16,512,Onboard,15500000
"Dell V3400 core i3-1115G4 4GB/128GB/14""FHD",Dell,Core i3,4,128,Onboard,4250000
HP NoteBook 14 240-G8 i5-1135G7-8GB-512GB-Full Box,Hp,Core i5,8,512,Onboard,9900000
ASUS Vivobook M1405NAQ-LY011W Ryzen 7 16GB/512GB,Asus,Ryzen 7,16,512,Onboard,13990000
LG 13Z970-G.AA52C1 i5 16GB/512GB,Lg,Core i5,16,512,Onboard,6000000
Acer NITRO AN515-45 Ryzen 5 15.6 inch 8G/512G,Acer,Ryzen 5,8,512,Onboard,9000000
MSI GF63 i7-10750H 8GB/512GB/ GTX 1650 MaxQ,Msi,Core i7,8,512,NVIDIA Card Rời,7900000
DELL inspiron 5502 i7 1165g7 RAM 16G SSD 512G,Dell,Core i7,16,512,Onboard,12000000
"LOQ Gaming Ryzen 7 16GB/512GB - Bán Gấp, mới mua",Khác,Ryzen 7,16,512,Onboard,21000000
HP OmniBook 7 14-fs0042TU Core 5 24GB/512GB/14”2K,Hp,Core i5,24,512,Onboard,23270000
Dell Vostro V5410 (i5 11300H / 8G / 512G),Dell,Core i5,8,512,Onboard,8300000
Lenovo ThinkPad T14 Gen 1 i5-10210U 16GB/512GB,Lenovo,Core i5,16,512,Onboard,7000000
Dell Latitude 7310 2in1 i7 /16GB/256GB,Dell,Core i7,16,256,Onboard,8500000
Dell Latitude 7280 I7-6600U 12.5 inch 8GB/256GB,Dell,Core i7,8,256,Onboard,3900000
Dell 15 DC15250 i5 13.34U 16GB/512GB BH 28/08/2027,Dell,Core i5,16,512,Onboard,14500000
Dell 15 DC15250 i5-1334U 15.6 inch 16GB/512GB,Dell,Core i5,16,512,Onboard,14500000
LOQ 15ARP9: R5-7235HS | 16G | 512G | RTX 3050 6G,Khác,Ryzen 5,16,512,NVIDIA Card Rời,17990000
"Laptop Acer Core i5-7200U, RAM 8GB, SSD 256GB",Acer,Core i5,8,256,Onboard,3200000
HP ProBook 455 G10 Ryzen 7 16GB/512GB,Hp,Ryzen 7,16,512,Onboard,11900000
MSI Katana 15: i7-13620H | 16G | 512G | RTX 3050,Msi,Core i7,16,512,NVIDIA Card Rời,18990000
Acer Aspire 7: R5-5500U | 8G | 256G | GTX 1650,Acer,Ryzen 5,8,256,NVIDIA Card Rời,5990000
Dell Latitude 7320 i7/16GB/256GB Tablet,Dell,Core i7,16,256,Onboard,11900000
Asus Vivobook X513E  I5 1135G7 8G 512G FHD OLED,Asus,Core i5,8,512,Onboard,7900000
Apple MacBook Pro i9 16 inch 32GB/1TB,Apple,Core i9,32,1024,Apple GPU,13000000
Macbook Pro 14inch M4 Ram 16Gb SSD 512Gb Trầy,Apple,Apple M-Series,16,512,Apple GPU,30000000
Microsoft Surface Pro 5 i5-7200U 8GB/256GB,Surface,Core i5,8,256,Onboard,4000000
"DELL LATITUDE 7480 I7 6600U 8GB 256GB 14""FHD ZIN",Dell,Core i7,8,256,Onboard,5200000
"DELL LATITUDE 5440 I7 1355U 16GB 512GB 14""FHD USA",Dell,Core i7,16,512,Onboard,14500000
"DELL LATITUDE 7470 I7 6600U 8GB 256GB 14""FHD WIN11",Dell,Core i7,8,256,Onboard,4900000
Acer Nitro 5 i7-11800H 15.6 inch 8GB/512GB,Acer,Core i7,8,512,Onboard,13000000
Macbook Pro M2 13 inch 8GB/256GB. FULL BOX 99%,Apple,Apple M-Series,8,256,Apple GPU,15800000
Latitude E5490 Core i7-8650U/8GB/ 256GB. Full HD,Khác,Core i7,8,256,Onboard,5900000
Dell Latitude 5310 i5-10310u/8GB/256GB/màn cảm ứng,Dell,Core i5,8,256,Onboard,5800000
Latitude E7290 Core i5-8250U/8GB/ 256GB. Đẹp 99%,Khác,Core i5,8,256,Onboard,4600000
ASUS Vivobook 15 i5-1240P 15 inch 16GB/512GB 95%,Asus,Core i5,16,512,Onboard,10000000
