ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban
Laptop Msi Prestige 13 AI+ Ukiyoe Edition A2VMG-075VN (Ultra 9-288V/ 32GB/ 2TB/ Win 11 Home),Msi,Core Ultra 9,32,2048,Onboard,51990000
Laptop Asus Vivobook S14 S3407CA-LY068WS (Ultra 5-225H/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Asus,Core Ultra 5,16,512,Onboard,27990000
Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700GDVN (R5 7535HS/ 16GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 5,16,512,Onboard,19900000
Laptop Dell 15 DC15250 - CPH99 (i5-1334U/ 16GB/ 512GB/ Win 11 Home SL + Office),Dell,Core i5,16,512,Onboard,19090000
Laptop HP Victus 15 fa2731TX (B85LNPA) (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core i5,16,512,Onboard,27990000
Laptop Asus ROG Zephyrus G16 GU605CR-QR265WS (Ultra 9-285H/ GeForce RTX™ 5070Ti/ 32GB/ 1TB/ Win 11 Home),Asus,Core Ultra 9,32,1024,NVIDIA Card Rời,77990000
Laptop Asus Expertbook B1 BM1403CDA-S61611W (Ryzen 5 150/ 16GB/ 512GB/ Windows 11 Home Single Language),Asus,Ryzen 5,16,512,AMD Card Rời,16790000
Laptop HP 15-fc0024AU - D0BH2PA (Ryzen 5 7520U/ 16GB/ 512GB/ Windows 11 Home),Hp,Ryzen 5,16,512,Onboard,16590000
Laptop Lenovo ThinkPad T16 Gen 4 - 21QE000DVN (Ultra 7-255H/ 32GB/ 1TB/ Win 11 Pro),Lenovo,Core Ultra 7,32,1024,Onboard,43790000
Laptop Lenovo ThinkPad X1 Carbon Gen 13 - 21NS010CVN (Ultra 7-258V/ 32GB/ 1TB/ Win 11 Pro),Lenovo,Core Ultra 7,32,1024,Onboard,62890000
"Laptop Lenovo ThinkPad E14 Gen 7 - 21SX0030VN (Ultra 7-255H/ 16GB/ 1TB/ Windows 11 Home SL, English)",Lenovo,Core Ultra 7,16,1024,Onboard,33390000
Laptop Dell Pro 14 E PV14250 PV14250-150U-161TBW (Core 7 150U/ 16GB/ 1TB/ Windows 11 Home Single Langua),Dell,Core i7,16,1024,Onboard,29990000
Laptop Acer Aspire Go 14 AG14-72P-563L (Core 5 120U/ 16GB/ 512GB/ Windows 11 Home SL),Acer,Core i5,16,512,Onboard,24990000
Laptop Lenovo ThinkPad X1 2-in-1 Gen 10 - 21NU004TVN (Ultra 7-258V/ 32GB/ 1TB/ Windows 11 Pro),Lenovo,Core Ultra 7,32,1024,Onboard,66490000
Laptop Lenovo Ideapad Slim 3 16ARP10 - 83K8008WVN (Ryzen 7 7735HS/ 24GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 7,24,512,AMD Card Rời,22490000
"Laptop Lenovo ThinkPad E14 Gen 7 - 21SX005NVN (Ultra 5-225U/ 16GB/ 512GB/ Windows 11 Home SL, English)",Lenovo,Core Ultra 5,16,512,Onboard,26890000
"Laptop Lenovo ThinkPad E14 Gen 7 - 21U2003QVN (Ultra 5-226V/ 16GB/ 512GB/ Windows 11 Home SL, English)",Lenovo,Core Ultra 5,16,512,Onboard,27090000
"Laptop Lenovo ThinkBook 14 G8 IAL - 21SJ00EAVN (Ultra 5-135H/ 16GB/ 512GB/ Win 11 Home SL, English)",Lenovo,Core Ultra 5,16,512,Onboard,23290000
Laptop Lenovo V14 G5 IRL - 83HD0035VN (Core 7 240H/ 16GB/ 512GB/ Windows 11 Home SL),Lenovo,Core i7,16,512,Onboard,22490000
Laptop Asus Zenbook 14 UM3406GA-QD073WS (Ryzen AI 7 445/ 32GB/ 1TB/ Win 11 Home + Office + Microsoft),Asus,Ryzen 7,32,1024,AMD Card Rời,39990000
Laptop Asus ExpertBook P1 P1503CVA-C5H16-63WS (Core 5 210H/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Asus,Core i5,16,512,Onboard,23490000
Laptop Asus ExpertBook P1 P1403CVA-C5H16-63WS (Core 5 210H/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Asus,Core i5,16,512,Onboard,23490000
