ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban
HOT DEAL,Other,Intel Core 3 Processor 100U,N/A,N/A,Intel UHD Graphics,13100000
Laptop ASUS ExpertBook P1403CVA-C3U08-50W,ASUS,Intel Core 3 Processor 100U,N/A,N/A,Intel UHD Graphics,13100000
Xem nhanh,Other,N/A,N/A,N/A,N/A,13890000
Laptop Acer Aspire Lite 14 AL14-52P-309T,ACER,N/A,N/A,N/A,N/A,13890000
Laptop Acer Aspire Go 15 AG15-72P-35X9,ACER,N/A,N/A,N/A,N/A,12890000
Laptop LG Gram Book 15U50T-G.AV56A5,Other,N/A,N/A,N/A,N/A,14990000
Laptop Acer Swift 3 SF314 511 55QE,ACER,N/A,N/A,N/A,N/A,12990000
Laptop Acer Aspire Go 15 AG15 71P 58X1,ACER,N/A,N/A,N/A,N/A,14490000
Laptop Avita PURA A+ AF14A3VNF56F Silver,Other,N/A,N/A,N/A,N/A,7390000
Laptop Acer Aspire Go 14 AG14-72P-34M4,ACER,N/A,N/A,N/A,N/A,13890000
Laptop Acer Aspire Lite 15 AL15-42P-R8E6,ACER,AMD Ryzen 5 7430U,N/A,N/A,AMD Radeon,14990000
Laptop ASUS ExpertBook B1 BM1403CDA S60974W,ASUS,N/A,N/A,N/A,N/A,12190000
Laptop MSI Modern 14 F13MG 466VN,MSI,N/A,N/A,N/A,N/A,14190000
Laptop Acer Aspire Lite 15 AL15 41P R3U5,ACER,N/A,N/A,N/A,N/A,12790000
Laptop Acer Aspire 5 A514 56P 562P,ACER,N/A,N/A,N/A,N/A,12790000
Laptop Acer Aspire 3 A314 42P R3B3,ACER,N/A,N/A,N/A,N/A,12990000
Laptop Acer Aspire 3 A315 510P 34XZ,ACER,N/A,N/A,N/A,N/A,10290000
Laptop HP 15s FQ1107TU 193Q3PA,HP,N/A,N/A,N/A,N/A,10690000
Laptop HP 340s G7 224L1PA,HP,N/A,N/A,N/A,N/A,12590000
Laptop HP 240 G8 342A3PA,HP,N/A,N/A,N/A,N/A,11290000
Laptop HP 15s fq2602TU 4B6D3PA,HP,N/A,N/A,N/A,N/A,14990000
Laptop HP 15s du1105TU 2Z6L3PA,HP,N/A,N/A,N/A,N/A,10990000
Laptop HP Pavilion 14 dv0520TU 46L92PA,HP,N/A,N/A,N/A,N/A,14590000
Laptop HP Pavilion 14 dv0516TU 46L88PA,HP,N/A,N/A,N/A,N/A,14590000
LAPTOP HP 15S DU3593TU 63P89PA,HP,N/A,N/A,N/A,N/A,14990000
Laptop GIGABYTE U4 UD 50S1823SO,GIGABYTE,N/A,N/A,N/A,N/A,14490000
Laptop HP Pavilion 15 EG0513TU 46M12PA,HP,N/A,N/A,N/A,N/A,9990000
Laptop LG Gram 2022 14Z90Q G.AJ32A5,Other,N/A,N/A,N/A,N/A,12490000
Laptop HP Pavilion 15 EG2063TU 6K791PA,HP,N/A,N/A,N/A,N/A,13990000
Laptop HP ProBook 440 G6 5YM63PA,HP,N/A,N/A,N/A,N/A,13390000
Laptop HP Pavilion 15 CS3010TU 8QN78PA,HP,N/A,N/A,N/A,N/A,13490000
Laptop HP Pavilion 15 CS3008TU 8QP02PA,HP,N/A,N/A,N/A,N/A,13490000
Laptop HP 14S DQ1020TU 8QN33PA,HP,N/A,N/A,N/A,N/A,14690000
Laptop MSI Modern 14 C11M 011VN,MSI,N/A,N/A,N/A,N/A,8990000
Laptop Acer Swift X14 SFX14 72G 77F9,ACER,Ultra 7 155H,N/A,N/A,RTX 4050,35490000
Laptop Acer Aspire Lite AL15 72P 7232,ACER,N/A,N/A,N/A,N/A,15990000
Laptop Acer Aspire Go AG14 71M 57WR,ACER,Ultra 5 125H,N/A,N/A,N/A,16790000
Laptop ASUS Expertbook P1403CVA-i716-50W,ASUS,N/A,N/A,N/A,N/A,17290000
Laptop Acer Aspire Lite 14 AL14 71P 55P9,ACER,N/A,N/A,N/A,N/A,18790000
Laptop ACER Swift Lite 14 SFL14 51M 56HS,ACER,Intel Core Ultra 5 125U,N/A,N/A,Intel Arc Graphics (Onboard),16990000
Laptop ASUS Expertbook P1403CVA-i516-50W,ASUS,N/A,N/A,N/A,N/A,17590000
Laptop Dell Inspirion N3530 i5U165W11SLU (1334U),DELL,N/A,N/A,N/A,N/A,15990000
Laptop Acer Aspire Lite AL15 72P 581V,ACER,N/A,N/A,N/A,N/A,15290000
Laptop MSI Modern 15 H C13M 216VN,MSI,N/A,N/A,N/A,N/A,17690000
Laptop MSI Modern 14 H D13MG 217VN,MSI,N/A,N/A,N/A,N/A,17990000
Laptop ASUS ExpertBook P1 P1403CVA-C5H08-50W,ASUS,Core 5 210H,N/A,N/A,N/A,16390000
Laptop ASUS ExpertBook P1403CVA-C5H16-50W,ASUS,Intel Core 5 Processor 210H,N/A,N/A,Intel Graphics,17800000
Laptop Asus ExpertBook P3 P3405CVA-NZ0027W,ASUS,N/A,N/A,N/A,N/A,18990000
Laptop Acer Aspire Go 14 AG14-72P-563L,ACER,Intel Core 5 processor 120U,N/A,N/A,N/A,17490000
Laptop Acer Aspire 16 AI A16 71M 71U7,ACER,Ultra 7 155H,N/A,N/A,N/A,18890000
Laptop Acer Aspire 16 AI A16 71M 59L5,ACER,Ultra 5 125H,N/A,N/A,N/A,18690000
Laptop Acer Aspire Lite 16 AL16 52P 76DU,ACER,N/A,N/A,N/A,N/A,17690000
Laptop Lenovo IdeaPad Slim 3 15IRH10 83K1000JVN,LENOVO,N/A,N/A,N/A,N/A,17990000
Laptop ASUS Vivobook 15 OLED A1505VA MA468W,ASUS,N/A,N/A,N/A,N/A,16490000
Laptop MSI Summit E13 Flip Evo A11MT 211VN,MSI,N/A,N/A,N/A,Intel Iris X,17990000
Laptop Dell Inspiron 15 3530 N3530-i7U161W11BLU-FP,DELL,N/A,N/A,N/A,N/A,17990000
"Laptop Dell Inspiron 5440-PUS i5-1334U/512GB/16GB DDR5/14"" FHD/W11/Carbon Black Nhập Khẩu",DELL,N/A,N/A,N/A,N/A,16990000
Laptop Acer Aspire Go AG14 71M 7681,ACER,Ultra 7 155H,N/A,N/A,N/A,18990000
Laptop ASUS Vivobook S14 S3407VA LY046W,ASUS,N/A,N/A,N/A,N/A,18490000
Laptop Lenovo IdeaPad Slim 3 14IRH10 83K0000BVN,LENOVO,N/A,N/A,N/A,N/A,18990000
Laptop Lenovo IdeaPad Slim 3 15IRH10 83K1000GVN,LENOVO,N/A,N/A,N/A,N/A,15990000
Laptop MSI Modern 15 F13MG 082VN,MSI,N/A,N/A,N/A,N/A,16490000
Laptop Dell Inspiron 15 3520 i5U165W11BLU-FP,DELL,N/A,N/A,N/A,N/A,15290000
Laptop Dell Inspiron 3530 N5I5007W1-Silver,DELL,N/A,N/A,N/A,N/A,17990000
Laptop Dell Inspiron 3520 N5I5052W1-Silver,DELL,N/A,N/A,N/A,N/A,15490000
Laptop Dell Inspiron 3520 N5I5011W1 Black,DELL,N/A,N/A,N/A,N/A,15490000
Laptop Acer Aspire 5 A515 58M 79R7,ACER,N/A,N/A,N/A,N/A,16990000
Laptop Acer Aspire 5 A515 58M 56YX,ACER,N/A,N/A,N/A,N/A,17390000
Laptop LG Gram 2022 17ZD90Q-G.AX52A5,Other,N/A,N/A,N/A,N/A,18990000
Laptop Dell Inspiron 3530 N5I5791W1 Black,DELL,N/A,N/A,N/A,N/A,18490000
Laptop HP Pavilion 15 eg3093TU 8C5L4PA,HP,N/A,N/A,N/A,N/A,19290000
Laptop HP Pavilion 15 eg3111TU 8U6L8PA,HP,N/A,N/A,N/A,N/A,19290000
Laptop HP 240 G9 6L1Y2PA,HP,N/A,N/A,N/A,N/A,15290000
Laptop Acer Aspire 5 A515 58GM 59LJ,ACER,N/A,N/A,N/A,RTX 2050,18990000
Laptop Acer Aspire 5 A515 58P 56RP,ACER,N/A,N/A,N/A,N/A,15490000
Laptop HP Pavilion 15 EG0539TU 4P5G6PA,HP,N/A,N/A,N/A,N/A,17990000
Laptop Dell Inspiron T7430 N7430I58W1 Silver,DELL,N/A,N/A,N/A,N/A,18990000
Laptop Dell Vostro 3420 71003348,DELL,N/A,N/A,N/A,N/A,16990000
Laptop HP 14s-dq1065TU 9TZ44PA,HP,N/A,N/A,N/A,N/A,16690000
Laptop HP Pavilion X360 14 DW0062TU,HP,N/A,N/A,N/A,N/A,17990000
Laptop HP Pavilion 15 CS3060TX 8RJ61PA,HP,N/A,N/A,N/A,N/A,18190000
Laptop HP ProBook 455 G7 1A1A9PA,HP,N/A,N/A,N/A,N/A,16590000
Laptop HP Pavilion 15 eg0070TU 2L9H3PA,HP,N/A,N/A,N/A,N/A,17990000
Laptop HP Pavilion 15 eg0003TX 2D9C5PA,HP,N/A,N/A,N/A,N/A,17590000
Laptop HP 15s fq2046TU 31D94PA,HP,N/A,N/A,N/A,N/A,15590000
Laptop MSI Prestige 13 AI+ Evo A2VMG 040VN,MSI,Ultra 7 258V,N/A,N/A,N/A,37990000
Laptop Acer Swift Go SFG14 74T 55HD,ACER,Ultra 5 255H,N/A,N/A,N/A,31490000
Laptop ASUS ExpertBook P3405CVA-NZ0077W,ASUS,N/A,N/A,N/A,N/A,23390000
Laptop Acer Aspire 5 A515 58P 9841,ACER,N/A,N/A,N/A,UHD Graphics,21690000
Laptop Acer Swift Go 14 AI SFG14 75 5264,ACER,Ultra 5 226V,N/A,N/A,N/A,29990000
Laptop Acer Aspire 14 AI A14 61M R9RA,ACER,N/A,N/A,N/A,Radeon,22990000
Laptop Lenovo Yoga Slim 7 14IMH9 83CV00DKVN,LENOVO,Ultra 7 155H,N/A,N/A,N/A,27990000
Laptop Lenovo Yoga Slim 7 14IMH9 83CV00D8VN,LENOVO,Ultra 5 125H,N/A,N/A,N/A,24490000
Laptop MSI Prestige 16 AI+ Mercedes AMG B2VMG 088VN,MSI,Ultra 9 288V,N/A,N/A,N/A,47990000
Laptop Acer Swift Go SFG14 74 58FJ,ACER,Ultra 5 255H,N/A,N/A,N/A,31490000
Laptop ASUS Vivobook S14 S3407CA LY096WS,ASUS,Ultra 7 255H,N/A,N/A,N/A,24590000
Laptop Lenovo ThinkPad X1 Carbon Gen 13 21NX003DVN,LENOVO,Ultra 5 225H,N/A,N/A,N/A,48300000
Laptop Acer Swift 14 AI SF14 51 53P9,ACER,N/A,N/A,N/A,N/A,28990000
Laptop MSI Venture A14 AI+ A3HMG 004VN,MSI,N/A,N/A,N/A,Radeon,23490000
Laptop MSI Prestige 14 AI+ Evo C2VMG 020VN,MSI,Ultra 7 258V,N/A,N/A,N/A,34990000
Laptop ASUS Zenbook 14 UX3405CA PZ187WS,ASUS,Ultra 5 225H,N/A,N/A,N/A,28490000
Laptop MSI Prestige 16 AI+ Evo B2VMG 016VN,MSI,Ultra 9 288V,N/A,N/A,N/A,42990000
Laptop MSI Prestige 14 AI Studio C1VEG 056VN,MSI,Ultra 7 155H,N/A,N/A,RTX 4050,31990000
Laptop Acer Swift Go 14 SFG14 73 57FZ,ACER,Ultra 5 125H,N/A,N/A,N/A,23790000
Laptop Acer Swift X14 SFX14 71G 78SY,ACER,N/A,N/A,N/A,RTX 4050,33990000
Laptop LG Gram Style 16Z90RS GAH54A5,Other,N/A,N/A,N/A,N/A,39490000
Laptop ASUS Zenbook 14 UX3405CA PZ204WS,ASUS,Ultra 9 285H,N/A,N/A,N/A,35990000
Laptop MSI Modern 15 H AI C2HMG 220VN,MSI,Ultra 7 255H,N/A,N/A,N/A,20490000
Laptop Acer Aspire 5 A515 58P 71EJ,ACER,N/A,N/A,N/A,N/A,20190000
"Macbook Pro Apple M5 chip with 10‑core CPU and 10‑core GPU, 16GB, 512GB SSD - Silver MDE44SA/A",MACBOOK,Apple M5,N/A,N/A,N/A,41990000
"Macbook Pro Apple M5 chip with 10‑core CPU and 10‑core GPU, 16GB, 512GB SSD - Space Black MDE04SA/A",MACBOOK,Apple M5,N/A,N/A,N/A,41990000
Laptop Dell 15 DC15250 i7U161W11SLU,DELL,N/A,N/A,N/A,N/A,20990000
Laptop MSI Prestige 13 AI+ Ukiyoe Edition A2VMG 075VN,MSI,Ultra 9 288V,N/A,N/A,N/A,47990000
Laptop ASUS Vivobook S14 S3407CA LY095WS,ASUS,Ultra 5 225H,N/A,N/A,N/A,20490000
Laptop Lenovo ThinkPad X9-14 Gen 1 21QA006GVN,LENOVO,Ultra 5 228V,N/A,N/A,N/A,44990000
Laptop Lenovo ThinkPad X9-15 Gen 1 21Q60055VN,LENOVO,Ultra 7 258V,N/A,N/A,N/A,49990000
Laptop Dell XPS 9350 XPS9350-U5IA165W11GR-FP,DELL,Ultra 5 226V,N/A,N/A,N/A,54990000
Laptop LG Gram 2024 14T90S-G.AH55A5,Other,Ultra 5 125H,N/A,N/A,N/A,32990000
Laptop LG Gram 2024 14Z90S-G.AH75A5,Other,Ultra 7 155H,N/A,N/A,N/A,24990000
Laptop LG Gram 2024 14Z90S-G.AH55A5,Other,Ultra 5 125H,N/A,N/A,N/A,22990000
Laptop MSI Prestige 14 AI Evo C1MG 080VN,MSI,Ultra 5 125H,N/A,N/A,N/A,26490000
Laptop MSI Prestige 14 AI Evo C1MG 081VN,MSI,Ultra 5 125H,N/A,N/A,N/A,24490000
Laptop Lenovo Yoga Slim 9 14ILL10 83CX001AVN,LENOVO,Ultra 7 258V,N/A,N/A,N/A,55990000
Laptop ASUS Vivobook S 16 OLED M5606KA RI016WS,ASUS,N/A,N/A,N/A,AMD Radeon™ Graphics,30990000
Laptop ASUS Zenbook 14 UM3406KA PP555WS,ASUS,N/A,N/A,N/A,AMD Radeon™ Graphics,31990000
Laptop ASUS Zenbook 14 UX3407QA QD299WS,ASUS,N/A,N/A,N/A,N/A,26890000
Laptop ASUS Zenbook 14 UX3405CA PZ368WS,ASUS,Ultra 7 255H,N/A,N/A,N/A,32490000
Laptop MSI Creator M16 HX C14VFG 040VN,MSI,N/A,N/A,N/A,RTX 4060,42990000
Laptop Lenovo Yoga Slim 7 15ILL9 83HM000GVN,LENOVO,N/A,N/A,N/A,N/A,39990000
Laptop Acer Swift 14 AI SF14 51 75VP,ACER,Ultra 7 258V,N/A,N/A,N/A,35990000
Laptop MSI Prestige 14 AI Studio C1UDXG 058VN,MSI,Ultra 7 155H,N/A,N/A,RTX 3050,27990000
Laptop Acer Swift X14 SFX14 72G 79UW,ACER,Ultra7 155H,N/A,N/A,RTX 4070,48990000
