ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban
ASUS PRO P1440FA : i5-10210U | 8GB RAM | 256GB SSD NVMe | 14.0 HD | Intel UHD Graphics 620 | DOS | Bản lề 180 độ | Finger,ASUS,N/A,8,256GB SSD NVME,INTEL UHD GRAPHICS,7500000
HP Probook 440 G6 : i5-8365U | 8GB RAM | 256GB SSD  | Intel UHD 620 | 14 inch FHD | Window 10 | Silver,HP,N/A,8,256GB SSD,N/A,8199000
Lenovo V14 G3 IAP 82TS0060VN : i3-1215U | 8GB RAM | 256GB SSD | Intel UHD Graphics | 14 inch FHD | DOS | Black,LENOVO,INTEL CORE I3-1215U,8,256GB SSD,INTEL UHD GRAPHICS,8700000
ASUS Vivobook X1404ZA-NK386W : i3-1215U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch FHD | Finger | Windows 11 | Xanh,ASUS,N/A,8,512GB SSD,INTEL UHD GRAPHICS,9000000
Acer Aspire 5 A514-56P-35X7 : i3-1315U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch WUXGA | Windows 11 | Xám,ACER,N/A,8,512GB SSD,INTEL UHD GRAPHICS,9000000
ASUS Expertbook B1502CBA-NJ1261W : i3-1215U | 8GB RAM | 256GB SSD | Intel UHD Graphics | 15.6 inch FHD | Finger | Windows 11 | Blue,ASUS,N/A,8,256GB SSD,INTEL UHD GRAPHICS,9600000
Dell Latitude 5430 : i5-1245U | 16GB RAM | 256GB SSD | Intel Iris Xe Graphics | 14 inch FHD | Touch | IR Camera | Windows 11 Pro | Grey,DELL,N/A,16,256GB SSD,INTEL IRIS XE,9700000
HP 15-fd0306TU A2NL7PA : i3-1315U |  8GB RAM |  256GB SSD | Intel Graphics | 15.6 inch FHD | Win 11 Home | Silver,HP,INTEL CORE I3,8,256GB SSD,INTEL UHD GRAPHICS,9800000
HP 15-fd0305TU A2NL6PA: i3-1315U | 8GB RAM | 256GB SSD | Intel UHD Graphics | 15.6 FHD | Win 11 Home | Warm Gold,HP,INTEL CORE I3-1315U,8,256GB SSD,INTEL UHD GRAPHICS,9900000
ASUS ExpertBook P1 P1403CVA-S60618W : i3-1315U | 8GB RAM | 256GB SSD | Intel UHD Graphics | Windows 11 Home | Grey,ASUS,INTEL CORE I3-1315U,8,256GB SSD,INTEL UHD GRAPHICS,10000000
ASUS Expertbook B1402CVA-NK0104W : i3-1315U | 8GB RAM | 256GB SSD | Intel UHD Graphics | 14 inch FHD | Windows 11 | Black,ASUS,N/A,8,256GB SSD,INTEL UHD GRAPHICS,10000000
HP 14s-dq5121TU 8W355PA : i3-1215U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14 inch FHD | Windows 11 | Bạc,HP,N/A,8,512GB SSD,INTEL UHD GRAPHICS,10200000
HP 15-fd0304TU A2NL5PA : i3-1315U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 inch FHD | Win 11 Home | Silver,HP,INTEL CORE I3-1315U,8,512GB SSD,INTEL UHD GRAPHICS,10500000
HP 15 - FD0133WM : i3-1315U | 8GB RAM | 256GB SSD | Intel UHD Graphics | 15.6 inch FHD | Windows 11 | Natural Silver,HP,N/A,8,256GB SSD,INTEL UHD GRAPHICS,10500000
Asus Vivobook 15 X1504ZA-NJ582W : i3-1315U | 8GB RAM | 512GB SSD | 15.6 FHD | Win11 | Bạc,ASUS,N/A,8,512GB SSD,INTEL UHD GRAPHICS,10600000
Asus ExpertBook P1503CVA-i308-50W : i3-1315U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 inch FHD | Win 11 Home | Grey,ASUS,INTEL CORE I3-1315U,8,512GB SSD,INTEL UHD GRAPHICS,10700000
ASUS ExpertBook P1503CVA-i308256-50W : i3-1315U | 8GB RAM | 256GB SSD | UHD Graphics | 15.6 inches FHD | Windows 11 | Xám,ASUS,N/A,8,256GB SSD,INTEL UHD GRAPHICS,10800000
Dell 15 DC15250 : Core 3 100U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 inch FHD | FreeDos | Black,DELL,INTEL CORE I5-1334U,8,512GB SSD,INTEL UHD GRAPHICS,11000000
HP 240 G10 9H2D8PT : i3-1315U | 8GB RAM | 256GB SSD | 14.0 inch FHD | Intel UHD Graphics | Windows 11 | Silver,HP,N/A,8,256GB SSD,INTEL UHD GRAPHICS,11200000
HP 245 G10 A20TDPT : R5-7530U | 8GB RAM | 512GB SSD |  AMD Radeon Graphics | 14 inch FHD | Windows 11 | Silver,HP,AMD RYZEN 5 - 7530U,8,512GB SSD,AMD RADEON GRAPHICS,11200000
Dell Precision 7540: i7-9750H | 16GB RAM | 512GB SSD | Quadro T1000 4GB | 15.6 inch FHD | Touch | Windows 11 | Black,DELL,N/A,16,512GB SSD,N/A,11600000
HP Pavilion 15-eg3098TU 8C5L9PA : i3-1315U | 8GB RAM | 256GB SSD | Intel UHD Graphics | 15.6 inch FHD | Windows 11 | Gold,HP,N/A,8,256GB SSD,UHD GRAPHICS,11600000
Acer Aspire Go AG15-72P-35X9 : i3-1305U | 8GB RAM | 256GB SSD | Intel UHD Graphics | 15.6 inch FHD | Windows 11 | Pure Silver,ACER,N/A,8,256GB SSD,INTEL UHD GRAPHICS,11600000
Dell Pro 15 Essential PV15250 PV15250-100U-08512U : Core 3 100U | 8GB RAM | 512GB SSD | Intel Graphics | 15.6 inch FHD | Ubuntu | Platinium Silver,DELL,CORE 3 100U,8,512GB SSD,INTEL GRAPHICS,11699000
HP 240 G10 9H2E0PT : i3-1315U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14.0 inch FHD | Windows 11 | Silver,HP,N/A,8,512GB SSD,INTEL UHD GRAPHICS,11700000
HP 240R G9 AX3C6AT : i3-1315U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 14.0 inch FHD | Win 11 Home | Black,HP,INTEL CORE I3-1315U,8,512GB SSD,INTEL UHD GRAPHICS,11800000
MSI Modern 15 B13M-438VN : i5 1355U | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6 inch FHD IPS | Led Keyboard | Windows 11 | Classic Black,MSI,CORE I5-1335U,8,512GB SSD,INTEL IRIS XE GRAPHICS,11900000
ASUS Vivobook X1404VA-i512256 : i5-1334U | 12GB RAM | 256GB SSD | Intel UHD Graphics | 14 inch FHD | Finger | Windows 11,ASUS,N/A,12,256GB SSD,INTEL UHD GRAPHICS,11950000
HP 15-FC0086AU A6VV9PA : R5-7430U | 16GB RAM | 512GB SSD | AMD Radeon Graphics | 15.6 FHD | Win 11 Home | Silver,HP,N/A,16,512GB SSD,AMD RADEON™ GRAPHICS,12000000
Dell Inspiron 3530 71053725 : i3-1305U | 8GB RAM | 512GB SSD | 15.6 inch FHD | Intel UHD Graphics | Win 11 Home | Office Home 2024 | Black,DELL,INTEL CORE I3-1305U,8,512GB SSD,INTEL UHD GRAPHICS,12200000
Dell inspiron 3530 P16WD5: i3-1305U | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6 inch FHD 120Hz | Windows 11 Home + Office 2021 | Silver,DELL,INTEL CORE I3-1305U,8,512GB SSD,INTEL UHD GRAPHICS,12300000
MSI Modern 14 F13MG-250VNCP : i5-1334U | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14 inch FHD | Windows 11 | Black,MSI,N/A,8,512GB SSD,IRIS XE GRAPHICS,12300000
